TAC,manufacturer,model,aka,os,year,lte
86863900,Shenzhen Opsson Technology,OPSSON OPSSON C15,,Proprietary,,0
86863901,Zhongshan Guoxintong Science,SICT guoxintong GD668,,Android,2012,0
86864001,Shenzhen Yi Pai,epade epade C07,,Android,2012,0
86864100,Shenzhen Newman-Anpu Technology,Newman H6,,Proprietary,,0
86864101,Zhongshan Guoxintong Science,SICT guoxintong GD886,,Android,2012,0
86864200,Shenzhenshi Kuchao Technology,COLCH CO388,,Proprietary,,0
86864201,Shenzhen Jingli Communication,F,F-FOOK F-FOOK F688,Android,2012,0
86864300,Gfive International,GFIVE G212i,,Proprietary,,0
86864301,Shenzhen Jingli Communication,F,F-FOOK F-FOOK F699,Android,2012,0
86864400,Shenzhen Jielai Technology,SAINO SAINO H550,,Proprietary,,0
86864500,Shenzhen City Motian,Motian Motian V300,,Proprietary,,0
86864501,Shenzhen Lightning Communications,TKC TKC I5D,,Android,2012,0
86864600,Tct Mobile Limited,ALCATEL one touch X520Y,,Proprietary,,0
86864601,Shenzhen Billion Beauty,EOOM EOOM Q007,,Android,2012,0
86864700,Shenzhen Vita Electronic,VITA VT,VITA VT-A508,Proprietary,,0
86864701,Shenzhen Jugate Communication,Jugate Z1001,,Android,2012,0
86864800,Huawei,F501,,Proprietary,,0
86864801,Shenzhen Jugate Communication,Jugate Z1118,,Android,2012,0
86864900,Shenzhen Jugate Communication,HYT,HYT-07,Proprietary,,0
86864901,Longsung Technology (Shanghai),Longsung MX811D,,Android,2012,0
86865000,Shenzhen Lian Long,GLX W22,,Proprietary,,0
86865001,Shenzhen Act Industrial,act V318,,Android,2012,0
86865100,Shenzhen Kenxinda Technology,N33,,Proprietary,,0
86865101,Shenzhen Love Me,LOVME Lovme,LOVME Lovme-X12,Android,2012,0
86865200,Hunan Zhongyi Electronics,A3,A3-A,Proprietary,,0
86865201,Amoi Technology Co,AMOI XIAXIN N821,,Android,2012,0
86865300,Crown Fortune Limited,HR,HR-K600,Proprietary,,0
86865301,Shenzhen Iocean Digital,iOCEAN iOCEAN WA710,,Android,2012,0
86865400,Shenzhen Yoord Electrionics,YOORD YOORD HX568,,Proprietary,,0
86865401,Zhongshan Guoxintong Science,SICT guoxintong I618,,Android,2012,0
86865500,Zte Corporation,ZTE ZTE,ZTE ZTE-T U960,Proprietary,,0
86865501,Zhongshan Guoxintong Science,SICT guoxintong I628,,Android,2012,0
86865600,Jiangsu Rayhov Electronics,Rayhov Rayhov X3,,Proprietary,,0
